QTY,INVOICENUMBER,ITEM_DESCRIPTION,MENUDESC
-0.5,1270449,MIXED BAKLAVA EXTRA SAFAR,TABLES
-1,1272426,MIXED BAKLAVA EXTRA,TABLES
-1,1272433,FORET BLANCHE N:0,DELIVERY
-1,1272433,COMPLIMENTARY KNIFE,DELIVERY
-1,20024244,COMPLIMENTARY KNIFE,TAKE AWAY
-1,20024244,FORET NOIRE N:4,TAKE AWAY
-1,20024305,COMPLIMENTARY KNIFE,DELIVERY
-1,20024305,TART STRAWBERRY N:0,DELIVERY
-1,20024274,KAAK KNEFEH KASHTA,DELIVERY
-2,20024321,MCHAKAL KASHTA,DELIVERY
-1,20024372,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024372,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024372,Kashta Aside,TAKE AWAY
-1,20024372,MAFROUKEH,TAKE AWAY
-2,20024423,MIXED BAKLAVA EXTRA,DELIVERY
-2,20024423,MIXED BAKLAVA EXTRA,DELIVERY
-1,20024423,MIXED BAKLAVA EXTRA,DELIVERY
-0.5,1271753,MIXED BAKLAVA SUGAR FREE,TABLES
-0.5,1271753,MIXED BAKLAVA SUGAR FREE SAFAR,TABLES
-20,20024233,COTTON CANDY/PC,DELIVERY
-1,20024233,COTTON CANDY/PC,DELIVERY
-1,20024233,PETIT FOUR MIX LARGE/PKT,DELIVERY
-2,20024233,PETIT FOUR EXTRA LARGE/PKT,DELIVERY
-1,20024233,PETIT FOUR EXTRA LARGE/PKT,DELIVERY
-2,20024233,PETIT FOUR EXTRA SMALL/PKT,DELIVERY
-2,20024247,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024262,KAAK KNEFEH CHEESE,TAKE AWAY
-1,20024287,KAAK KNEFEH CHEESE,TAKE AWAY
-2,20024287,KAAK MAFROUKEH,TAKE AWAY
-1,20024260,CHOCOLATE BAR MILK/100G,TAKE AWAY
-1,20024260,CHOCOLATE BAR DARK/100G,TAKE AWAY
-1,20024277,HALEWET EL JEBEN LAF,TAKE AWAY
-1,20024261,LAHM B AAJIN/PLT,TAKE AWAY
-1,20024371,FATAYER KASHTA LARGE,TAKE AWAY
-1,20024371,MAAMOUL CHEESE MINI/PC,TAKE AWAY
-1,20024316,Ice Cream 1 Scoop ,DELIVERY
-24,20024316,LAHM B AAJIN SQUARE/PC,DELIVERY
-1,20024316,JAZARIYEH MAALOUFEH,DELIVERY
-1,20024316,KARBOUJ MAD PISTACHIO,DELIVERY
-1,20024316,KARBOUJ MAD PISTACHIO,DELIVERY
-1,20024316,W/ POMEGRENATE MOLLASSES,DELIVERY
-0.07,20024226,MAFROUKEH PISTACHIO,TAKE AWAY
-1,20024226,HALEWET EL JEBEN,TAKE AWAY
-0.07,20024227,MAFROUKEH PISTACHIO,TAKE AWAY
-1.5,20024227,HALEWET EL JEBEN,TAKE AWAY
-2,1273485,N.B.,Call Center
-1,1273485,DELICE FRAISE N:4,Call Center
-1,20024220,KAAK KNEFEH CHEESE FRANJI,TAKE AWAY
-0.5,20024393,WARD EL SHAM,TAKE AWAY
-1,20024225,CROISSANT AU BEURRE OLIVE,TAKE AWAY
-1,1278783,WARD EL KASER,Call Center
-1,1278783,BON INTAJ,Call Center
,,,
-1,1275280,MAAMOUL MAD WALNUT,TABLES
-0.5,1272593,JAZARIYEH MAALOUFEH,Call Center
-1,1277871,LAHM B AJIN DOZEN,DELIVERY
-1,1273198,COMPLIMENTARY KNIFE,Call Center
-2,1273198,N.B.,Call Center
-1,1273198,Gateau Lite N:2,Call Center
-2,1276283,CROISSANT CHEESE AU BEURRE,DELIVERY
-1.5,1274773,HALEWET EL REZ KASHTA,WhatsApp
-5,1274360,MAAMOUL KASHTA PISTACHIO,DELIVERY
-0.5,1275041,MIXED BAKLAVA SUGAR FREE,DELIVERY
-0.5,1275041,MIXED BAKLAVA SUGAR FREE,DELIVERY
-1,1278646,LAHM B AAJIN/PLT,TABLES
-1,1278646,LAHM B AAJIN/PLT,TABLES
-1,20024388,MIXED BAKLAVA EXTRA,TAKE AWAY
-1,20024388,Kashta Aside,TAKE AWAY
-1,20024388,MAFROUKEH,TAKE AWAY
-15,20024388,EMPTY ARABIC KAAK,TAKE AWAY
-1,1279194,MAAMOUL DATE MINI,DELIVERY
-1,1275675,CHOCOLAT MOU SMALL,TABLES
-1,1271764,MAAMOUL DATE MINI,DELIVERY
-1,1271764,MAAMOUL DATE MINI,DELIVERY
-0.5,1277428,NAMMOURA SIYAMI,Call Center
-12,1270530,LAHM B AAJIN SQUARE/PC,Call Center
-12,1270530,LAHM B AAJIN SQUARE/PC,Call Center
-24,1270530,W/ POMEGRENATE MOLLASSES,Call Center
-1,1270530,SAFAR,Call Center
-1,1270530,SPECIAL PACKAGE TUPPERWARE 1 KG,Call Center
-1,1273033,LAHM B AAJIN SQUARE/PC,TABLES
-2,20024402,MAAMOUL KASHTA PISTACHIO,TAKE AWAY
-1,20024402,KATAYEF KASHTA/PKT,TAKE AWAY
-0.2,20024402,KASHTA,TAKE AWAY
-0.44,20024399,MAFROUKEH PISTACHIO,TAKE AWAY
-1,20024399,KATAYEF KASHTA/PKT,TAKE AWAY
-0.3,20024399,KASHTA,TAKE AWAY
-5,1274711,CROISSANT CHEESE AU BEURRE,DELIVERY
-1,1278704,MAAMOUL PISTACHIO MINI,DELIVERY
-1,20024209,NAMMOURA,TAKE AWAY
-12,1273668,Maamoul Date/PC,DELIVERY
-12,1273668,Maamoul Date/PC,DELIVERY
-12,1273668,MAAMOUL WALNUT/PC,DELIVERY
-12,1273668,MAAMOUL WALNUT/PC,DELIVERY
-1,1278613,RICHARD N:0,Call Center
-1,1277057,DEL 2.0$,Call Center
-1,1277057,TRUFFLE DATES/PKT,Call Center
-1,1278620,MAAMOUL MAD WALNUT,Call Center
-1,1277152,MIXED BAKLAVA SUGAR FREE SAFAR,Call Center
-0.65,20024413,KATAYEF DOUGH LARGE,TAKE AWAY
-1,1279590,KILLAGE KASHTA FRIED/PC,Call Center
-1,20024400,MHALABIYEH N:1,TAKE AWAY
,,,
,,,
-1,1271240,CROISSANT CHEESE AU BEURRE,TABLES
-1,1271930,MIXED BAKLAVA/PLT,TABLES
-3,1273305,KNEFEH KASHTA/PLT,TABLES
-1,1271129,LAHM B AAJIN/PLT,TABLES
-1,1271129,LAHM B AAJIN/PLT,TABLES
-2,1270469,WARD EL KASER/PC,TABLES
-1,1270999,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1270999,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1270999,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1271062,MIXED BAKLAVA EXTRA SAFAR,Call Center
1,20024250,MIXED BAKLAVA EXTRA SAFAR,Call Center
-1,20024250,MIXED BAKLAVA EXTRA SAFAR,Call Center
-1,20024250,N.B.,Call Center
-1,20024250,N.B.,Call Center
-1,20024250,NAMMOURA,Call Center
-1,20024250,MCHABBAK,Call Center
-1,20024250,MCHABBAK,Call Center
-1,20024250,BAKLAVA SAFAR,Call Center
-1,20024250,BAKLAVA SAFAR,Call Center
-1,20024250,ASABEH SAFAR,Call Center
-1,20024250,ASABEH SAFAR,Call Center
-1,20024250,SFOUF SIYAMI,Call Center
-1,20024250,SFOUF SIYAMI,Call Center
-1,20024250,SPECIAL PACKAGE CARTOON,Call Center
-1,20024250,SPECIAL PACKAGE CARTOON,Call Center
-1,1272048,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1272048,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1272048,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1272048,MAAMOUL MINI MIXED,DELIVERY
-1,1272048,MAAMOUL MINI MIXED,DELIVERY
-1,1272539,TIN PACKAGE 1 KG,Call Center
-1,20024297,MIXED BAKLAVA EXTRA SAFAR,TAKE AWAY
-4,20024297,KAAK KNEFEH CHEESE,TAKE AWAY
-1,1276344,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1276344,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1276344,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-1,1276344,MIXED BAKLAVA EXTRA SAFAR,DELIVERY
-6,1276344,KAAK KNEFEH KASHTA,DELIVERY
-1,1276344,Sugar Syrup Aside,DELIVERY
-1,1277049,MIXED BAKLAVA EXTRA SAFAR,Call Center
-1,1277049,MIXED BAKLAVA EXTRA SAFAR,Call Center
-1,1277049,N.B.,Call Center
-1,1277049,N.B.,Call Center
-1,1277049,MAAMOUL DATE + PISTACHIO MINI,Call Center
-1,1277049,MAAMOUL DATE + PISTACHIO MINI,Call Center
-1,1277049,W/O Heating ,Call Center
-1,1277049,SPECIAL PACKAGE TUPPERWARE 1 KG,Call Center
-1,1277049,BON INTAJ,Call Center
-12,1277049,DJEJ B AAJIN MEDIUM/PC,Call Center
-1,1277422,MIXED BAKLAVA EXTRA SAFAR,TABLES
-1,1277422,MIXED BAKLAVA EXTRA SAFAR,TABLES
-1,1277422,MIXED BAKLAVA EXTRA SAFAR,TABLES
